Week,Postmates: (United States),Uber Eats: (United States),DoorDash: (United States),Grubhub: (United States)
1/26/2020,14,20,42,24
2/2/2020,14,21,42,26
2/9/2020,15,22,44,27
2/16/2020,14,21,42,26
2/23/2020,14,21,44,28
3/1/2020,14,21,43,27
3/8/2020,13,20,39,25
3/15/2020,20,37,59,36
3/22/2020,19,38,66,39
3/29/2020,20,34,70,41
4/5/2020,19,32,67,41
4/12/2020,18,35,86,42
4/19/2020,18,31,76,40
4/26/2020,16,31,71,40
5/3/2020,17,30,71,40
5/10/2020,16,30,70,42
5/17/2020,16,26,62,36
5/24/2020,15,26,57,31
5/31/2020,14,26,54,29
6/7/2020,15,26,56,31
6/14/2020,14,27,55,28
6/21/2020,14,28,57,31
6/28/2020,16,29,60,31
7/5/2020,22,28,59,30
7/12/2020,16,27,66,31
7/19/2020,15,28,66,30
7/26/2020,14,27,65,30
8/2/2020,14,27,70,30
8/9/2020,14,25,66,28
8/16/2020,13,24,67,29
8/23/2020,13,23,63,27
8/30/2020,12,24,63,26
9/6/2020,12,25,60,25
9/13/2020,12,26,63,26
9/20/2020,13,29,61,26
9/27/2020,12,29,63,24
10/4/2020,13,28,60,24
10/11/2020,12,32,60,25
10/18/2020,13,31,62,25
10/25/2020,13,30,63,25
11/1/2020,11,25,53,22
11/8/2020,12,29,66,25
11/15/2020,13,32,71,26
11/22/2020,11,28,69,24
11/29/2020,14,30,70,26
12/6/2020,13,32,100,28
12/13/2020,13,33,81,29
12/20/2020,11,29,71,28
12/27/2020,13,30,77,30
1/3/2021,12,26,80,29
1/10/2021,12,27,78,31
