Week,Postmates: (United States),Uber Eats: (United States),DoorDash: (United States),Grubhub: (United States)
1/24/2016,5,1,3,11
1/31/2016,4,1,2,12
2/7/2016,5,1,2,11
2/14/2016,5,1,3,14
2/21/2016,5,1,3,12
2/28/2016,5,1,3,12
3/6/2016,5,1,3,11
3/13/2016,5,2,2,12
3/20/2016,5,3,3,13
3/27/2016,5,2,3,12
4/3/2016,5,2,3,12
4/10/2016,5,2,3,11
4/17/2016,5,2,3,12
4/24/2016,5,2,3,12
5/1/2016,5,2,3,13
5/8/2016,6,2,3,12
5/15/2016,6,2,3,12
5/22/2016,6,2,3,11
5/29/2016,6,2,3,11
6/5/2016,6,1,4,11
6/12/2016,5,2,4,11
6/19/2016,6,3,4,12
6/26/2016,6,3,4,12
7/3/2016,5,3,4,12
7/10/2016,5,6,3,12
7/17/2016,6,5,4,12
7/24/2016,6,4,3,12
7/31/2016,6,4,4,11
8/7/2016,5,4,3,11
8/14/2016,5,4,3,11
8/21/2016,6,4,4,12
8/28/2016,5,5,4,12
9/4/2016,6,6,4,12
9/11/2016,6,6,4,12
9/18/2016,5,6,4,13
9/25/2016,7,7,5,12
10/2/2016,6,7,5,12
10/9/2016,6,7,5,13
10/16/2016,7,7,5,14
10/23/2016,8,8,5,12
10/30/2016,8,8,5,14
11/6/2016,8,8,5,32
11/13/2016,9,9,5,19
11/20/2016,8,8,4,13
11/27/2016,9,9,5,14
12/4/2016,10,10,5,15
12/11/2016,9,11,5,15
12/18/2016,8,10,5,14
12/25/2016,6,9,4,12
1/1/2017,10,11,5,15
1/8/2017,10,11,5,14
1/15/2017,9,11,5,14
1/22/2017,10,11,5,14
1/29/2017,8,11,5,15
2/5/2017,10,11,5,16
2/12/2017,10,12,6,16
2/19/2017,9,12,5,16
2/26/2017,10,12,5,16
3/5/2017,9,12,6,15
3/12/2017,10,13,6,17
3/19/2017,11,13,6,17
3/26/2017,9,13,6,17
4/2/2017,10,13,7,17
4/9/2017,10,12,7,16
4/16/2017,11,13,7,16
4/23/2017,9,13,7,17
4/30/2017,9,14,7,16
5/7/2017,11,13,7,15
5/14/2017,9,13,7,15
5/21/2017,9,16,7,14
5/28/2017,8,17,7,15
6/4/2017,9,17,7,15
6/11/2017,8,18,7,14
6/18/2017,9,17,7,16
6/25/2017,9,19,7,15
7/2/2017,8,18,7,14
7/9/2017,9,17,7,15
7/16/2017,9,20,6,15
7/23/2017,10,21,7,16
