Year,Month,Nominal_FAH,Nominal_FAFH,Total_Nominal_Food_Sales,Constant_FAH,Constant_FAFH,Total_Constant_Dollar_Food_Sales
2020,October,72902.62,63979.03,136881.64,33739.93,26162.76,59949.25
2020,September,69613.82,61343.05,130956.88,32290.65,25153.49,57496.13
2020,August,72581.79,63116.18,135697.97,33536.21,26024.48,59596.28
2020,July,74056.80,61254.55,135311.34,34189.15,25328.73,59474.22
2020,June,71241.48,57455.68,128697.16,32569.73,23869.71,56376.86
2020,May,74601.09,48118.56,122719.65,34268.92,20094.12,54024.91
2020,April,69152.76,35316.34,104469.10,32032.44,14802.26,46280.46
2020,March,79286.60,53732.90,133019.50,37708.38,22554.09,59836.70
2020,February,62943.23,67605.80,130549.03,30071.58,28419.75,58911.97
2020,January,65183.78,67002.33,132186.11,31262.94,28228.81,59837.86
2019,December,74025.79,71959.02,145984.81,35703.41,30428.56,66398.11
2019,November,69221.99,68857.09,138079.08,33389.79,29200.22,62888.52
2019,October,66903.67,71333.18,138236.84,32189.75,30299.06,62920.36
2019,September,63678.10,69286.88,132964.98,30738.89,29485.73,60681.84
2019,August,68755.84,75155.61,143911.44,33243.68,32065.78,65812.98
2019,July,67592.74,74027.73,141620.48,32653.39,31652.60,64799.41
2019,June,66213.62,73882.90,140096.52,31980.75,31654.31,64154.26
2019,May,68463.46,75125.82,143589.28,32966.58,32291.31,65741.99
2019,April,64456.27,70557.46,135013.73,31071.25,30391.43,61912.12
2019,March,65750.93,73170.11,138921.05,31606.82,31618.51,63699.91
2019,February,58494.40,63665.80,122160.20,28176.36,27561.70,56123.83
2019,January,63625.74,64079.66,127705.39,30733.85,27839.14,58855.63
2018,December,72338.45,69603.06,141941.52,35145.04,30342.91,65726.02
2018,November,67225.90,65455.28,132681.19,32748.06,28649.04,61638.73
2018,October,64925.77,68162.45,133088.22,31557.77,29919.43,61832.93
2018,September,62697.28,66498.37,129195.65,30443.86,29216.08,60016.18
2018,August,65978.62,71923.17,137901.80,32052.03,31669.40,64140.18
2018,July,64933.14,71400.53,136333.67,31570.02,31499.05,63493.54
2018,June,64641.84,71431.82,136073.66,31515.67,31549.25,63501.32
2018,May,66346.01,71571.31,137917.31,32329.45,31668.51,64395.52
2018,April,61273.03,66939.98,128213.02,29753.16,29717.97,59838.21
2018,March,65872.66,69790.98,135663.64,32117.01,31058.32,63525.98
2018,February,58159.14,60688.51,118847.65,28352.88,27036.81,55674.64
2018,January,61417.61,60689.21,122106.82,29862.31,27102.56,57179.89
2017,December,72174.79,68017.87,140192.66,35277.08,30482.33,65942.52
2017,November,65077.54,62048.98,127126.52,31832.01,27874.62,59884.07
2017,October,62531.70,64268.74,126800.45,30441.33,28924.26,59613.32
2017,September,61411.76,63231.42,124643.17,29947.97,28489.34,58685.73
2017,August,63088.33,65576.65,128664.98,30802.05,29636.99,60700.23
2017,July,62481.18,65636.94,128118.13,30491.13,29760.60,60509.64
2017,June,61964.64,65604.07,127568.71,30321.28,29792.73,60385.55
2017,May,63347.84,66624.20,129972.04,30911.11,30267.02,61433.85
2017,April,61016.74,64674.30,125691.04,29790.92,29433.55,59476.25
2017,March,61821.28,66124.84,127946.13,30253.54,30161.13,60682.81
2017,February,56146.46,58517.53,114663.98,27514.13,26734.36,54465.06
2017,January,58815.11,58918.60,117733.70,28887.40,26973.12,56046.84
2016,December,68791.54,63838.67,132630.20,33913.96,29333.26,63375.46
2016,November,61626.72,59337.04,120963.76,30320.38,27306.61,57772.31
