Category: All categories

Week,Grubhub: (United States),Postmates: (United States),Uber Eats: (United States),DoorDash: (United States)
2016-01-17,11,4,1,3
2016-01-24,11,5,1,2
2016-01-31,12,5,1,3
2016-02-07,12,5,1,2
2016-02-14,13,5,1,3
2016-02-21,13,4,1,2
2016-02-28,13,5,1,2
2016-03-06,12,5,1,2
2016-03-13,13,5,1,3
2016-03-20,14,5,2,3
2016-03-27,13,5,2,3
2016-04-03,12,5,2,3
2016-04-10,12,6,2,3
2016-04-17,13,5,2,3
2016-04-24,12,5,2,3
2016-05-01,14,5,2,3
2016-05-08,12,6,2,4
2016-05-15,12,6,2,3
2016-05-22,11,6,2,4
2016-05-29,11,6,1,4
2016-06-05,11,6,2,4
2016-06-12,12,6,2,4
2016-06-19,13,6,4,4
2016-06-26,13,6,3,4
2016-07-03,13,6,3,4
2016-07-10,11,7,6,3
2016-07-17,12,6,6,3
2016-07-24,12,6,5,4
2016-07-31,12,6,4,4
2016-08-07,13,6,4,4
2016-08-14,11,5,4,4
2016-08-21,12,6,5,4
2016-08-28,12,6,5,4
2016-09-04,13,6,6,4
2016-09-11,12,6,6,4
2016-09-18,12,6,7,5
2016-09-25,14,7,7,4
2016-10-02,12,6,8,5
2016-10-09,14,7,8,4
2016-10-16,14,7,7,5
2016-10-23,13,7,8,5
2016-10-30,14,8,8,5
2016-11-06,32,9,8,5
2016-11-13,19,9,9,6
2016-11-20,12,9,8,4
2016-11-27,15,10,9,5
2016-12-04,15,9,11,5
2016-12-11,17,10,11,6
2016-12-18,13,9,10,5
2016-12-25,13,7,8,4
2017-01-01,15,10,11,5
2017-01-08,14,9,11,5
2017-01-15,15,10,12,6
2017-01-22,16,10,12,6
2017-01-29,16,9,11,5
2017-02-05,15,10,12,5
2017-02-12,15,10,12,6
2017-02-19,16,9,11,6
2017-02-26,18,9,12,6
2017-03-05,16,9,12,6
2017-03-12,18,11,14,6
2017-03-19,18,11,13,6
2017-03-26,17,11,15,6
2017-04-02,17,10,13,6
2017-04-09,15,10,13,7
2017-04-16,17,11,13,8
2017-04-23,18,10,14,7
2017-04-30,17,10,15,8
2017-05-07,17,11,14,8
2017-05-14,15,9,14,8
2017-05-21,15,8,15,7
2017-05-28,15,9,18,8
2017-06-04,15,8,17,7
2017-06-11,15,9,19,7
2017-06-18,16,9,19,7
