,business_id,state,postal_code,is_open,categories
0,pQeaRpvuhoEqudo3uymHIQ,IL,61820,1,"Ethnic Food, Food Trucks, Specialty Food, Imported Food, Argentine, Food, Restaurants, Empanadas"
1,CsLQLiRoafpJPJSkNX2h5Q,NC,28205,0,"Food, Restaurants, Grocery, Middle Eastern"
2,vjTVxnsQEZ34XjYNS-XUpA,AZ,85032,1,"Food, Pretzels, Bakeries, Fast Food, Restaurants"
3,fnZrZlqW1Z8iWgTVDfv_MA,NV,89147,0,"Mexican, Restaurants, Fast Food"
4,98hyK2QEUeI8v2y0AghfZA,OH,44114,1,"Restaurants, Vietnamese, Soup"
5,fhNf_sg-XzZ3e7HEVGuOZg,NV,89118,0,"Burgers, Restaurants, American (Traditional), Chicken Wings"
6,Ga2Bt7xfqoggTypWD5VpoQ,AZ,85282,0,"Mexican, Restaurants"
7,xFc50drSPxXkcLvX5ygqrg,AZ,85308,0,"Burgers, Fast Food, American (New), Restaurants, Hot Dogs"
8,tLpkSwdtqqoXwU0JAGnApw,OH,44128,1,"Restaurants, Fast Food, Burgers"
9,Sd75ucXKoZUM2BEfBHFUOg,AZ,85204,0,"Chinese, Restaurants"
10,lK-wuiq8b1TuU7bfbQZgsg,OH,44113,1,"Shopping Centers, Food, Coffee & Tea, Cafes, Museums, Restaurants, Shopping, Local Flavor, Flowers & Gifts, Arts & Entertainment, Art Galleries, Florists"
11,LAoSegVNU4wx4GTA8reB6A,AZ,85283,1,"Restaurants, Egyptian, Food Trucks, Food, Middle Eastern"
12,-qjn24n8HYF6It9GQrQntw,NC,28262,0,"Fast Food, American (New), Restaurants, Burgers"
13,ZkzutF0P_u0C0yTulwaHkA,PA,15239,1,"Restaurants, Pizza"
14,7j0kor_fkeYhyEpXh4OpnQ,OH,44136,1,"Breakfast & Brunch, Restaurants, American (Traditional), Salad"
15,OWkS1FXNJbozn-qPg3LWxg,NV,89109,1,"Food, Food Trucks, Restaurants, Pizza"
16,j9bWpCRwpDVfwVT_V85qeA,AZ,85213,1,"Food, Ethnic Food, Specialty Food, Restaurants, Thai"
17,JcsZvx-4yovFgCXOfd6KMg,AZ,85012,0,"Restaurants, Sandwiches"
18,MTx-Zdl_KcU_z9G832XAjg,NV,89131,1,"Fast Food, Restaurants"
19,a6d7UcYnRvbr4t-THg4pSQ,OH,44116,0,"Pubs, Food, Bars, Beer, Wine & Spirits, Restaurants, Gastropubs, British, Nightlife, Fish & Chips"
20,W7hCuNdn2gzehta6eSHzgQ,AZ,85281,1,"Restaurants, Fish & Chips, Seafood"
21,8nP8ghEpT6WFcM6tfqAaGA,AZ,85251,1,"Ice Cream & Frozen Yogurt, Sandwiches, Food, American (Traditional), Restaurants"
22,8Hvp1tYKiQbBgGIwkCRK5g,OH,44134,1,"Coffee & Tea, Restaurants, Food, Breakfast & Brunch, American (Traditional)"
23,39lLJK_rrYY2NYomSsQdUA,OH,44122,1,"Restaurants, Pizza"
24,kQknjbOvtPmS3NVm-RhcdQ,NC,28211,0,"Restaurants, Cajun/Creole"
25,0y6alZmSLnPzmG5_kP5Quw,OH,44126,1,"Pizza, Italian, Restaurants"
26,3YjPlOX3VHzKguHetiR_3g,AZ,85253,0,"American (Traditional), Restaurants"
27,OGVHlFHSXjHuioOvm1wVqg,PA,15202,1,"Dive Bars, Restaurants, Comfort Food, Bars, Nightlife"
28,Q_dh08clYUPj13GmCRzIVA,NV,89139,0,"Filipino, Restaurants, Breakfast & Brunch, Food, Street Vendors"
29,3C0bnFhjkgYP9mWORKg6cA,NC,28202,1,"Hot Dogs, Food, Street Vendors, Restaurants"
30,ydE2SjvSd9_NMoEBAE2PuA,AZ,85281,0,"American (Traditional), Restaurants, Tex-Mex"
31,5X7TQsA3iDbBc8yy2YkCnA,AZ,85250,1,"Restaurants, Sandwiches, Fast Food"
