Week,recipe: (United States),grocery: (United States),delivery: (United States),hours: (United States)
1/17/2016,31,3,6,40
1/24/2016,27,2,6,36
1/31/2016,27,2,6,38
2/7/2016,28,2,7,38
2/14/2016,26,2,7,41
2/21/2016,24,2,6,38
2/28/2016,24,2,6,40
3/6/2016,24,2,6,38
3/13/2016,23,3,6,40
3/20/2016,28,3,6,44
3/27/2016,23,3,6,46
4/3/2016,23,3,6,39
4/10/2016,22,3,6,39
4/17/2016,22,3,6,39
4/24/2016,22,2,6,39
5/1/2016,23,3,7,41
5/8/2016,23,3,6,42
5/15/2016,22,3,6,42
5/22/2016,23,3,6,45
5/29/2016,24,3,6,58
6/5/2016,22,3,6,46
6/12/2016,23,3,6,45
6/19/2016,23,3,6,47
6/26/2016,25,3,6,48
7/3/2016,26,3,6,57
7/10/2016,24,3,6,44
7/17/2016,24,3,6,46
7/24/2016,24,3,6,44
7/31/2016,23,3,6,45
8/7/2016,22,3,6,42
8/14/2016,22,3,6,42
8/21/2016,22,3,6,42
8/28/2016,23,3,6,45
9/4/2016,23,3,6,51
9/11/2016,22,3,6,39
9/18/2016,22,3,6,38
9/25/2016,23,2,6,38
10/2/2016,23,3,6,38
10/9/2016,23,3,6,39
10/16/2016,23,3,6,39
10/23/2016,23,3,6,37
10/30/2016,22,3,6,38
11/6/2016,22,3,6,39
11/13/2016,28,3,6,38
11/20/2016,48,4,6,68
11/27/2016,23,2,6,39
12/4/2016,27,3,7,40
12/11/2016,30,3,7,43
12/18/2016,45,3,8,70
12/25/2016,35,5,7,70
1/1/2017,31,3,7,46
1/8/2017,26,3,7,34
1/15/2017,26,3,7,37
1/22/2017,25,3,7,33
1/29/2017,26,3,7,34
2/5/2017,24,3,7,32
2/12/2017,23,3,8,35
2/19/2017,23,3,7,39
2/26/2017,22,3,7,35
3/5/2017,22,3,7,35
3/12/2017,25,3,7,37
3/19/2017,23,3,7,39
3/26/2017,22,3,7,36
4/2/2017,22,3,7,37
4/9/2017,26,3,7,42
4/16/2017,22,3,7,43
4/23/2017,21,3,7,36
4/30/2017,23,3,7,38
5/7/2017,22,3,9,40
5/14/2017,21,3,7,40
5/21/2017,24,3,7,40
5/28/2017,23,4,7,52
6/4/2017,23,3,7,40
6/11/2017,24,4,7,43
6/18/2017,23,4,8,43
6/25/2017,25,4,7,45
7/2/2017,28,4,8,59
7/9/2017,24,4,8,42
7/16/2017,23,4,8,43
7/23/2017,24,4,8,43
7/30/2017,24,4,8,43
8/6/2017,25,4,8,42
8/13/2017,22,3,7,42
8/20/2017,22,3,7,41
8/27/2017,22,3,7,39
9/3/2017,23,3,7,46
9/10/2017,22,3,7,37
9/17/2017,23,3,7,36
9/24/2017,23,3,7,36
10/1/2017,22,3,7,35
10/8/2017,24,3,8,37
10/15/2017,25,3,7,35
10/22/2017,26,3,8,35
10/29/2017,25,3,8,34
11/5/2017,27,3,8,35
11/12/2017,30,3,7,35
11/19/2017,50,4,7,68
11/26/2017,23,3,7,38
12/3/2017,28,3,8,37
12/10/2017,31,3,8,41
12/17/2017,43,3,9,56
12/24/2017,43,6,8,80
12/31/2017,35,4,9,52
1/7/2018,28,3,8,33
1/14/2018,30,3,8,37
1/21/2018,26,3,7,33
1/28/2018,28,3,8,34
2/4/2018,27,3,8,32
2/11/2018,26,3,10,33
2/18/2018,25,3,8,34
2/25/2018,24,3,8,34
3/4/2018,24,3,8,33
3/11/2018,25,3,8,35
3/18/2018,25,3,8,34
3/25/2018,27,3,8,40
4/1/2018,24,3,8,42
4/8/2018,23,3,8,34
4/15/2018,22,3,8,34
4/22/2018,22,3,8,33
4/29/2018,22,3,8,35
5/6/2018,22,3,9,35
5/13/2018,21,3,8,35
5/20/2018,23,3,8,38
5/27/2018,24,4,8,48
6/3/2018,22,3,8,39
6/10/2018,24,4,8,41
6/17/2018,23,4,8,40
6/24/2018,24,4,9,41
7/1/2018,29,4,9,54
7/8/2018,24,4,8,41
7/15/2018,24,4,8,41
7/22/2018,25,4,9,41
7/29/2018,24,4,8,42
8/5/2018,25,4,8,43
8/12/2018,24,4,8,42
8/19/2018,24,4,8,41
8/26/2018,24,4,8,41
